                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1525,                 1.2755,                 1.3287,                0.68595,                0.62564,                0.64969,                 0.4355,                 1.2123,                 1.1355,                 1.3447,               0.006733,               0.006733,               0.006733
                     36,                 1.1466,                 1.2698,                 1.3218,                0.69273,                0.60583,                0.64565,                0.43468,                 1.2093,                 1.1523,                  1.349,               0.006634,               0.006634,               0.006634
                     37,                 1.1379,                 1.2423,                  1.311,                0.69542,                0.60643,                0.65406,                0.43834,                 1.2088,                 1.1266,                 1.3435,               0.006535,               0.006535,               0.006535
                     38,                 1.1458,                 1.2454,                 1.3126,                0.72612,                0.58439,                0.65108,                0.43753,                 1.2279,                 1.1212,                 1.3725,               0.006436,               0.006436,               0.006436
                     39,                 1.1304,                 1.2325,                 1.3066,                 0.7061,                0.61363,                 0.6577,                0.44812,                 1.2114,                 1.0922,                 1.3446,               0.006337,               0.006337,               0.006337
                     40,                 1.1293,                 1.2249,                 1.3065,                0.70666,                0.60801,                0.65882,                0.44427,                 1.2058,                 1.0859,                 1.3388,               0.006238,               0.006238,               0.006238
                     41,                 1.1249,                 1.2198,                 1.3084,                0.66769,                0.63539,                 0.6599,                0.44515,                 1.2109,                  1.096,                 1.3472,               0.006139,               0.006139,               0.006139
                     42,                  1.124,                 1.2099,                 1.3004,                0.68745,                 0.6315,                0.66104,                0.44859,                 1.2064,                 1.0884,                 1.3357,                0.00604,                0.00604,                0.00604
                     43,                 1.1141,                 1.2019,                 1.2929,                0.69836,                0.62867,                0.67007,                0.45324,                 1.1998,                 1.0885,                 1.3368,               0.005941,               0.005941,               0.005941
                     44,                 1.1113,                 1.1851,                 1.2877,                0.69455,                0.63836,                0.67084,                0.45331,                 1.1896,                 1.0881,                 1.3278,               0.005842,               0.005842,               0.005842
                     45,                 1.1008,                 1.1783,                 1.2864,                0.69264,                0.62869,                0.67181,                  0.452,                 1.1872,                 1.0825,                 1.3237,               0.005743,               0.005743,               0.005743
                     46,                 1.1103,                 1.1813,                 1.2893,                 0.7331,                0.60945,                0.66852,                0.44863,                 1.1845,                 1.0692,                 1.3277,               0.005644,               0.005644,               0.005644
                     47,                 1.0951,                 1.1648,                 1.2824,                0.71298,                0.62225,                0.67083,                0.45322,                 1.1851,                 1.0819,                 1.3225,               0.005545,               0.005545,               0.005545
                     48,                 1.0877,                 1.1425,                 1.2763,                0.70387,                0.63664,                0.67701,                0.45748,                 1.1815,                 1.0632,                 1.3144,               0.005446,               0.005446,               0.005446
                     49,                 1.0922,                 1.1516,                 1.2778,                0.71395,                0.63179,                0.67224,                0.45536,                 1.1853,                 1.0677,                 1.3176,               0.005347,               0.005347,               0.005347
                     50,                 1.0841,                 1.1413,                 1.2729,                0.69246,                0.66262,                0.67664,                0.46058,                 1.1861,                 1.0647,                 1.3214,               0.005248,               0.005248,               0.005248
                     51,                 1.0743,                 1.1293,                 1.2683,                0.69248,                0.66402,                0.67736,                 0.4652,                 1.1815,                 1.0535,                 1.3192,               0.005149,               0.005149,               0.005149
                     52,                 1.0849,                 1.1258,                 1.2667,                0.71702,                0.63617,                0.67627,                0.46122,                 1.1856,                 1.0498,                 1.3166,                0.00505,                0.00505,                0.00505
                     53,                 1.0717,                 1.1129,                 1.2606,                0.71798,                0.64586,                0.67746,                0.45962,                 1.1944,                 1.0505,                 1.3202,               0.004951,               0.004951,               0.004951
                     54,                 1.0719,                 1.1021,                 1.2567,                0.72569,                0.64766,                0.67915,                0.46113,                  1.191,                 1.0408,                 1.3177,               0.004852,               0.004852,               0.004852
                     55,                 1.0583,                 1.0943,                 1.2503,                0.73255,                0.63508,                0.68418,                0.46302,                  1.183,                 1.0275,                  1.309,               0.004753,               0.004753,               0.004753
                     56,                 1.0581,                 1.0867,                 1.2494,                0.72523,                0.64569,                0.68348,                  0.464,                 1.1813,                 1.0279,                 1.3104,               0.004654,               0.004654,               0.004654
                     57,                 1.0503,                 1.0702,                 1.2444,                0.72829,                  0.648,                0.68556,                0.46772,                 1.1841,                 1.0339,                 1.3131,               0.004555,               0.004555,               0.004555
                     58,                 1.0504,                 1.0724,                 1.2484,                0.71719,                 0.6533,                0.68025,                0.46425,                 1.1831,                 1.0323,                 1.3155,               0.004456,               0.004456,               0.004456
                     59,                 1.0401,                 1.0598,                 1.2415,                0.71568,                0.65293,                0.68301,                0.46532,                 1.1843,                 1.0291,                 1.3168,               0.004357,               0.004357,               0.004357
                     60,                 1.0439,                 1.0485,                 1.2338,                0.70066,                 0.6693,                0.68577,                0.46274,                  1.183,                 1.0255,                 1.3147,               0.004258,               0.004258,               0.004258
                     61,                 1.0424,                 1.0537,                 1.2345,                0.69701,                0.67612,                0.68909,                0.46302,                 1.1874,                 1.0197,                 1.3157,               0.004159,               0.004159,               0.004159
                     62,                 1.0349,                 1.0488,                 1.2312,                0.70307,                0.67117,                0.69089,                0.46408,                 1.1882,                 1.0203,                 1.3163,                0.00406,                0.00406,                0.00406
                     63,                  1.024,                 1.0291,                 1.2251,                0.72854,                0.65853,                0.68949,                0.46587,                 1.1931,                 1.0184,                 1.3206,               0.003961,               0.003961,               0.003961
                     64,                 1.0257,                 1.0254,                 1.2236,                0.74121,                0.63945,                0.69069,                0.46371,                 1.1896,                 1.0233,                 1.3178,               0.003862,               0.003862,               0.003862
                     65,                 1.0251,                 1.0321,                 1.2251,                0.74292,                0.64375,                0.69039,                 0.4662,                  1.189,                 1.0187,                 1.3175,               0.003763,               0.003763,               0.003763
                     66,                 1.0136,                 1.0166,                 1.2195,                0.74137,                0.64884,                0.68997,                0.46564,                 1.1894,                 1.0209,                 1.3182,               0.003664,               0.003664,               0.003664
                     67,                 1.0151,                 1.0066,                 1.2153,                0.73404,                0.64973,                0.69023,                0.46553,                 1.1922,                 1.0192,                 1.3218,               0.003565,               0.003565,               0.003565
                     68,                 1.0112,                 1.0047,                 1.2116,                0.72639,                 0.6533,                0.68734,                0.46561,                 1.1909,                 1.0151,                 1.3203,               0.003466,               0.003466,               0.003466
                     69,                 1.0006,                0.99232,                 1.2108,                0.72662,                0.65134,                0.68838,                0.46573,                 1.1918,                 1.0126,                 1.3214,               0.003367,               0.003367,               0.003367
                     70,                0.99763,                0.99363,                 1.2036,                0.72873,                0.65134,                0.68882,                0.46551,                 1.1903,                 1.0136,                 1.3194,               0.003268,               0.003268,               0.003268
                     71,                0.99794,                0.97277,                 1.2054,                0.72579,                0.64695,                0.68941,                0.46641,                 1.1888,                 1.0111,                 1.3189,               0.003169,               0.003169,               0.003169
                     72,                0.98975,                0.96597,                 1.1992,                0.72949,                0.64711,                0.69216,                0.46697,                 1.1868,                 1.0103,                  1.317,                0.00307,                0.00307,                0.00307
                     73,                0.98515,                0.96552,                 1.2001,                0.73063,                0.64148,                0.69137,                 0.4669,                 1.1865,                  1.009,                 1.3181,               0.002971,               0.002971,               0.002971
                     74,                0.97249,                0.94255,                 1.1851,                0.75695,                0.62603,                 0.6914,                0.46684,                 1.1887,                 1.0083,                 1.3204,               0.002872,               0.002872,               0.002872
                     75,                0.96895,                0.94087,                 1.1864,                0.74832,                0.62881,                0.69307,                0.46647,                 1.1885,                 1.0056,                 1.3212,               0.002773,               0.002773,               0.002773
                     76,                0.97766,                0.93563,                 1.1886,                0.74921,                0.63007,                0.69448,                0.46702,                 1.1919,                 1.0061,                 1.3249,               0.002674,               0.002674,               0.002674
                     77,                0.96702,                0.93431,                 1.1854,                0.75247,                0.63007,                0.69519,                0.46717,                 1.1929,                 1.0047,                 1.3257,               0.002575,               0.002575,               0.002575
                     78,                0.96297,                0.92657,                 1.1809,                0.75358,                0.62881,                 0.6953,                0.46814,                 1.1909,                 1.0048,                 1.3231,               0.002476,               0.002476,               0.002476
                     79,                0.96509,                0.92254,                 1.1793,                0.74962,                0.63508,                0.69492,                0.46856,                 1.1902,                 1.0033,                 1.3226,               0.002377,               0.002377,               0.002377
                     80,                0.95854,                 0.9198,                 1.1801,                0.75303,                0.62678,                0.69515,                0.46933,                 1.1898,                 1.0021,                  1.322,               0.002278,               0.002278,               0.002278
                     81,                0.95443,                0.90564,                 1.1735,                0.75337,                0.62959,                0.69414,                0.46977,                 1.1904,                 1.0039,                 1.3216,               0.002179,               0.002179,               0.002179
                     82,                0.95332,                0.89836,                 1.1717,                0.74737,                0.63257,                0.69421,                0.46938,                 1.1909,                 1.0025,                 1.3223,                0.00208,                0.00208,                0.00208
                     83,                0.93896,                0.89102,                 1.1688,                0.74866,                0.63141,                0.69422,                 0.4701,                 1.1908,                 1.0009,                 1.3225,               0.001981,               0.001981,               0.001981
                     84,                0.93609,                0.88377,                 1.1618,                0.74259,                0.63539,                0.69439,                0.47004,                   1.19,                0.99793,                 1.3216,               0.001882,               0.001882,               0.001882
                     85,                 0.9333,                0.87857,                 1.1624,                 0.7534,                0.62514,                0.69342,                0.47085,                  1.189,                0.99542,                 1.3208,               0.001783,               0.001783,               0.001783
                     86,                0.93433,                 0.8776,                 1.1632,                0.71914,                0.65402,                 0.6946,                0.47093,                 1.1882,                0.99415,                 1.3202,               0.001684,               0.001684,               0.001684
                     87,                0.93094,                0.87653,                 1.1625,                0.71794,                0.65541,                0.69421,                0.47066,                 1.1878,                0.99306,                 1.3201,               0.001585,               0.001585,               0.001585
                     88,                0.92676,                0.86973,                  1.159,                0.71724,                0.65744,                0.69438,                0.47004,                 1.1877,                0.99192,                 1.3201,               0.001486,               0.001486,               0.001486
                     89,                0.91921,                0.85947,                 1.1521,                0.70904,                0.67073,                0.69429,                0.46997,                 1.1873,                0.99062,                 1.3199,               0.001387,               0.001387,               0.001387
                     90,                0.91332,                0.84485,                 1.1494,                0.71868,                0.65841,                 0.6945,                0.47048,                 1.1883,                0.98933,                 1.3214,               0.001288,               0.001288,               0.001288
                     91,                0.87279,                0.67948,                 1.1207,                0.71728,                0.65744,                0.69201,                 0.4714,                 1.1877,                0.98854,                 1.3209,               0.001189,               0.001189,               0.001189
                     92,                0.85128,                0.64237,                 1.1027,                0.72978,                0.64087,                0.69316,                0.47112,                 1.1864,                0.98877,                 1.3197,                0.00109,                0.00109,                0.00109
                     93,                0.83629,                0.62971,                 1.0936,                0.73714,                0.63758,                0.69165,                0.47086,                 1.1857,                0.98722,                 1.3193,               0.000991,               0.000991,               0.000991
                     94,                0.82789,                0.61692,                 1.0897,                0.73762,                0.63959,                0.69216,                0.47118,                 1.1853,                 0.9864,                 1.3189,               0.000892,               0.000892,               0.000892
                     95,                0.81659,                0.60668,                 1.0824,                0.73853,                 0.6404,                0.69242,                0.47149,                 1.1855,                0.98551,                  1.319,               0.000793,               0.000793,               0.000793
                     96,                0.80965,                0.59674,                 1.0787,                 0.7347,                0.64118,                0.69341,                0.47143,                 1.1854,                0.98465,                 1.3193,               0.000694,               0.000694,               0.000694
                     97,                0.80106,                0.58355,                  1.071,                0.74083,                 0.6398,                0.69535,                0.47077,                 1.1858,                0.98313,                 1.3194,               0.000595,               0.000595,               0.000595
                     98,                0.79506,                 0.5809,                 1.0682,                 0.7417,                0.64096,                 0.6948,                0.47102,                  1.185,                0.98286,                 1.3189,               0.000496,               0.000496,               0.000496
                     99,                0.78984,                0.56932,                 1.0646,                0.74795,                0.63995,                0.69576,                0.47129,                 1.1851,                0.98238,                 1.3191,               0.000397,               0.000397,               0.000397
                    100,                0.78316,                0.57023,                  1.062,                0.74804,                0.63914,                0.69585,                0.47111,                 1.1859,                0.98191,                 1.3202,               0.000298,               0.000298,               0.000298
