                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78224,                0.83109,                  1.137,                0.96364,                0.92745,                 0.9727,                0.80473,                0.65081,                0.79026,                0.96155,               0.006634,               0.006634,               0.006634
                     37,                0.77623,                0.82448,                 1.1326,                0.96183,                 0.9323,                0.97319,                0.80693,                0.64634,                0.73876,                0.95863,               0.006535,               0.006535,               0.006535
                     38,                0.77323,                0.81973,                 1.1306,                0.96386,                0.93176,                0.97375,                0.80862,                0.64241,                0.71982,                 0.9558,               0.006436,               0.006436,               0.006436
                     39,                0.77169,                0.81614,                 1.1298,                0.96546,                 0.9321,                0.97377,                0.80921,                0.63973,                0.68719,                0.95353,               0.006337,               0.006337,               0.006337
                     40,                0.76659,                0.81069,                 1.1261,                0.96743,                0.93127,                 0.9742,                0.81075,                 0.6377,                0.67599,                0.95166,               0.006238,               0.006238,               0.006238
                     41,                0.76191,                  0.804,                 1.1231,                0.96714,                0.93021,                0.97482,                0.81172,                 0.6352,                0.65881,                0.94974,               0.006139,               0.006139,               0.006139
                     42,                0.76139,                0.79966,                 1.1241,                0.96796,                0.93105,                0.97524,                0.81291,                0.63352,                0.63651,                0.94843,                0.00604,                0.00604,                0.00604
                     43,                0.75942,                0.79606,                 1.1209,                0.96826,                0.93308,                0.97534,                0.81393,                 0.6309,                0.65165,                0.94687,               0.005941,               0.005941,               0.005941
                     44,                 0.7562,                0.79451,                 1.1186,                0.96798,                0.93357,                0.97544,                0.81488,                0.62853,                0.64319,                 0.9451,               0.005842,               0.005842,               0.005842
                     45,                0.75124,                0.78615,                 1.1149,                0.96901,                0.93246,                0.97569,                0.81556,                0.62617,                0.63575,                0.94379,               0.005743,               0.005743,               0.005743
                     46,                0.75149,                0.78447,                 1.1156,                0.96965,                0.93325,                0.97583,                0.81654,                0.62427,                0.62479,                 0.9424,               0.005644,               0.005644,               0.005644
                     47,                0.74863,                0.78119,                 1.1135,                0.96971,                0.93446,                0.97572,                 0.8174,                0.62244,                0.61881,                0.94138,               0.005545,               0.005545,               0.005545
                     48,                0.74494,                0.77612,                  1.112,                0.96939,                0.93528,                0.97615,                0.81829,                0.62108,                0.61381,                0.94024,               0.005446,               0.005446,               0.005446
                     49,                0.74596,                0.77218,                 1.1104,                0.96975,                 0.9353,                0.97619,                0.81897,                0.61954,                0.60923,                0.93913,               0.005347,               0.005347,               0.005347
                     50,                0.73744,                0.76578,                 1.1068,                0.96918,                0.93541,                0.97622,                0.81907,                 0.6182,                0.60654,                0.93805,               0.005248,               0.005248,               0.005248
                     51,                0.73803,                0.76526,                 1.1075,                 0.9697,                0.93522,                0.97638,                0.81927,                  0.617,                0.60219,                0.93713,               0.005149,               0.005149,               0.005149
                     52,                0.73342,                0.75865,                 1.1035,                0.97147,                0.93415,                0.97646,                 0.8199,                0.61535,                0.60468,                  0.936,                0.00505,                0.00505,                0.00505
                     53,                0.73206,                0.75743,                 1.1033,                0.97202,                0.93414,                0.97674,                0.82018,                0.61399,                0.60421,                0.93503,               0.004951,               0.004951,               0.004951
                     54,                0.72854,                0.75011,                 1.1009,                0.97212,                0.93537,                0.97687,                0.82074,                 0.6129,                0.60421,                0.93421,               0.004852,               0.004852,               0.004852
                     55,                0.72411,                0.74283,                 1.0984,                0.97107,                0.93603,                0.97709,                0.82141,                 0.6115,                0.59839,                0.93334,               0.004753,               0.004753,               0.004753
                     56,                0.72362,                0.74356,                  1.098,                0.97305,                0.93428,                0.97702,                 0.8218,                0.61045,                0.60677,                0.93255,               0.004654,               0.004654,               0.004654
                     57,                0.71852,                0.73714,                 1.0946,                0.97281,                0.93503,                0.97707,                0.82236,                0.60896,                0.61298,                0.93144,               0.004555,               0.004555,               0.004555
                     58,                0.72039,                0.73427,                  1.095,                0.97229,                0.93573,                0.97759,                0.82334,                0.60764,                0.61925,                0.93048,               0.004456,               0.004456,               0.004456
                     59,                    inf,                0.73014,                 1.0918,                0.97196,                0.93685,                 0.9781,                0.82442,                0.60651,                0.61977,                0.92958,               0.004357,               0.004357,               0.004357
                     60,                0.71112,                0.72513,                 1.0909,                0.97104,                0.93833,                0.97839,                0.82503,                0.60515,                 0.6208,                0.92869,               0.004258,               0.004258,               0.004258
                     61,                0.70901,                0.71939,                 1.0885,                0.97068,                0.93858,                0.97848,                0.82526,                0.60372,                0.61363,                 0.9278,               0.004159,               0.004159,               0.004159
                     62,                0.70812,                 0.7172,                 1.0884,                0.97116,                 0.9385,                0.97826,                0.82628,                0.60245,                0.60667,                0.92693,                0.00406,                0.00406,                0.00406
                     63,                 0.7025,                0.71178,                 1.0843,                0.97103,                0.93833,                0.97894,                0.82668,                0.60125,                0.59936,                0.92604,               0.003961,               0.003961,               0.003961
                     64,                0.69944,                 0.7053,                 1.0827,                0.97251,                0.93811,                0.97917,                0.82754,                0.60003,                  0.592,                0.92519,               0.003862,               0.003862,               0.003862
                     65,                0.69792,                 0.7037,                 1.0816,                0.97294,                0.93814,                0.97918,                0.82838,                0.59837,                0.57504,                 0.9242,               0.003763,               0.003763,               0.003763
                     66,                0.69513,                0.70173,                 1.0811,                0.97248,                0.93878,                0.97923,                0.82899,                0.59687,                0.55537,                0.92325,               0.003664,               0.003664,               0.003664
                     67,                0.68977,                  0.695,                 1.0771,                 0.9713,                0.94022,                0.97955,                0.83007,                0.59529,                0.54414,                0.92227,               0.003565,               0.003565,               0.003565
                     68,                0.68933,                0.69463,                  1.076,                0.97184,                 0.9399,                 0.9797,                0.83102,                0.59358,                0.53722,                0.92127,               0.003466,               0.003466,               0.003466
                     69,                0.68521,                  0.687,                 1.0729,                0.97052,                0.94179,                0.98012,                 0.8317,                 0.5921,                0.52682,                0.92041,               0.003367,               0.003367,               0.003367
                     70,                0.67967,                0.68452,                 1.0718,                 0.9713,                0.94188,                0.98029,                 0.8326,                0.59027,                0.51913,                0.91924,               0.003268,               0.003268,               0.003268
                     71,                0.67738,                0.67773,                 1.0697,                0.97195,                0.94231,                0.98048,                0.83414,                0.58889,                0.50924,                0.91826,               0.003169,               0.003169,               0.003169
                     72,                0.67375,                  0.672,                 1.0664,                0.97186,                0.94277,                0.98072,                0.83467,                0.58705,                0.49588,                0.91706,                0.00307,                0.00307,                0.00307
                     73,                0.67211,                0.67028,                 1.0668,                0.97321,                0.94194,                0.98085,                0.83534,                0.58536,                  0.485,                0.91593,               0.002971,               0.002971,               0.002971
                     74,                0.66938,                0.66587,                  1.064,                0.97248,                0.94221,                0.98109,                0.83588,                0.58387,                 0.4733,                0.91502,               0.002872,               0.002872,               0.002872
                     75,                0.66538,                0.66169,                 1.0627,                0.97209,                0.94312,                0.98103,                0.83751,                0.58219,                0.46213,                0.91401,               0.002773,               0.002773,               0.002773
                     76,                0.66376,                0.65886,                 1.0626,                0.97359,                0.94329,                0.98117,                0.83819,                0.58072,                0.45918,                0.91305,               0.002674,               0.002674,               0.002674
                     77,                0.65875,                0.65282,                 1.0584,                0.97353,                0.94432,                0.98141,                0.83925,                0.57899,                0.45186,                0.91193,               0.002575,               0.002575,               0.002575
                     78,                0.65526,                0.64726,                 1.0563,                 0.9738,                0.94452,                0.98148,                0.84003,                0.57741,                 0.4467,                0.91086,               0.002476,               0.002476,               0.002476
                     79,                0.65312,                0.64659,                 1.0555,                 0.9741,                0.94484,                0.98149,                0.84054,                0.57586,                0.44274,                0.90986,               0.002377,               0.002377,               0.002377
                     80,                0.64811,                0.64009,                 1.0526,                0.97537,                0.94374,                0.98159,                0.84106,                0.57442,                0.44056,                0.90908,               0.002278,               0.002278,               0.002278
                     81,                0.64365,                 0.6327,                  1.049,                0.97558,                0.94375,                0.98192,                0.84216,                 0.5729,                0.43569,                0.90806,               0.002179,               0.002179,               0.002179
                     82,                0.64045,                0.62961,                 1.0487,                0.97604,                0.94385,                0.98207,                0.84312,                0.57137,                0.43032,                0.90712,                0.00208,                0.00208,                0.00208
                     83,                0.63495,                0.62487,                 1.0457,                 0.9766,                0.94352,                0.98213,                 0.8443,                0.56961,                0.42539,                0.90604,               0.001981,               0.001981,               0.001981
                     84,                0.63316,                0.62284,                 1.0435,                0.97755,                0.94338,                0.98227,                0.84477,                0.56807,                0.41665,                  0.905,               0.001882,               0.001882,               0.001882
                     85,                0.63038,                0.61754,                 1.0418,                0.97846,                0.94303,                0.98246,                0.84556,                0.56642,                0.40938,                0.90402,               0.001783,               0.001783,               0.001783
                     86,                0.62515,                0.61139,                 1.0384,                0.97886,                0.94304,                0.98246,                 0.8461,                0.56474,                0.40354,                0.90299,               0.001684,               0.001684,               0.001684
                     87,                0.62128,                0.60676,                 1.0369,                0.97962,                0.94236,                0.98284,                0.84735,                0.56269,                0.40079,                 0.9017,               0.001585,               0.001585,               0.001585
                     88,                0.61665,                0.60259,                  1.035,                0.97991,                0.94254,                 0.9829,                0.84801,                 0.5609,                0.39832,                0.90063,               0.001486,               0.001486,               0.001486
                     89,                0.61445,                 0.5974,                 1.0327,                 0.9792,                0.94345,                0.98306,                0.84849,                0.55922,                0.39507,                 0.8997,               0.001387,               0.001387,               0.001387
                     90,                0.60861,                0.59549,                 1.0321,                0.97886,                0.94515,                0.98323,                0.84994,                0.55758,                0.39194,                0.89883,               0.001288,               0.001288,               0.001288
